City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
439,Saint-Pierre,RE,67.64,clear sky,-21.3393,55.4781,Lindsey Hôtel
440,Maragogi,BR,73.85,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
443,Martapura,ID,71.69,clear sky,-3.4167,114.85,Montana Hotel Syariah
444,Kimbe,PG,78.49,light rain,-5.5502,150.1429,Kimbe Bay Hotel
445,Pau Brasil,BR,66.97,scattered clouds,-15.4642,-39.6511,Tina Hotel
446,Indramayu,ID,75.4,clear sky,-6.3264,108.32,Grand Trisula Hotel
447,Jacqueville,CI,76.91,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
453,Fort Saint James,CA,70.16,broken clouds,54.4333,-124.25,The View Hotel
455,Yerbogachen,RU,64.9,broken clouds,61.2767,108.0108,
456,Tarnobrzeg,PL,69.85,broken clouds,50.573,21.6794,Restauracja i Hotel Kameleon
457,Fukue,JP,79.63,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
459,Kyzyl-Suu,KG,66.76,clear sky,42.3414,78.0056,Gostinitsa Nur-Ordo
461,Lubao,PH,82.47,light rain,14.9167,120.55,Hacienda Gracia
463,Tautira,PF,82.42,clear sky,-17.7333,-149.15,Pension Oaoa
465,Tura,IN,75.09,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
466,Kaeo,NZ,60.33,scattered clouds,-35.1,173.7833,Bushido Lodge
468,Hulan,CN,75.31,overcast clouds,45.9833,126.6,Mingda Hotel
469,Alihe,CN,60.94,overcast clouds,50.5667,123.7167,Alihe Forestry Hotel
470,Ribeira Grande,PT,70.45,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
473,Nasirabad,IN,78.71,overcast clouds,26.3,74.7333,Lakshmi Hotel
474,Alofi,NU,80.49,clear sky,-19.0595,-169.9187,Taloa Heights
475,Hasaki,JP,77.29,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
477,Katsuura,JP,82.11,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
480,Itarema,BR,78.4,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
481,Palmer,US,79.32,overcast clouds,42.1584,-72.3287,Wedgewood Motel
482,Kyabe,TD,72.07,light rain,9.4515,18.9449,
485,Boa Vista,BR,82.38,thunderstorm with light rain,2.8197,-60.6733,Aipana Plaza Hotel
486,Gizo,SB,81.63,few clouds,-8.103,156.8419,Imagination Island
487,Galesong,ID,66.22,scattered clouds,-5.3166,119.3661,Sapriadi Appy
488,Baglung,NP,71.67,overcast clouds,28.2719,83.5898,"Hotel Peace Palace, Baglung, Nepal"
489,Upata,VE,72.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
492,Nantucket,US,73.51,overcast clouds,41.2835,-70.0995,Jared Coffin House
493,Prado,BR,70.07,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
494,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
495,Mugla,TR,68.67,few clouds,37.2303,28.3557,Petek Hotel
497,Thinadhoo,MV,81.1,broken clouds,0.5333,72.9333,
498,Zhigansk,RU,62.74,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
499,Khaniotis,GR,81.5,clear sky,39.9991,23.58,Haris Hotel
501,Smithers,CA,61.12,light rain,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
503,Tagusao,PH,81.37,broken clouds,9.1924,117.8141,Toledo
505,Shangrao,CN,75.72,overcast clouds,28.4532,117.9686,Boyue boutique Hotel
509,Kirundo,BI,70.57,overcast clouds,-2.5833,30.1667,Maranatha Hotel
511,Ha Tinh,VN,77.88,overcast clouds,18.3333,105.9,Phú Quý
512,Soyalo,MX,76.1,broken clouds,16.9,-92.9167,Posada Casa Real
514,Los Llanos De Aridane,ES,69.55,clear sky,28.6585,-17.9182,Valle Aridane
516,Xiongzhou,CN,77.47,overcast clouds,25.1167,114.3,Xinhewan Business Hotel
518,Chalus,IR,80.06,broken clouds,36.655,51.4204,نظام مهندسي ساختمان چالوس
519,Merke,KZ,78.85,clear sky,42.8728,73.1786,Gostinitsa Merki
523,Kudat,MY,82.33,few clouds,6.8837,116.8477,Dream Garden Hotel
524,Barra Patuca,HN,83.25,scattered clouds,15.8,-84.2833,
